"SEXO","TRABAJO","Ayuda_Externa","total_horas_espana"
"Mujer","1","Con Servicio",482716.198424215
"Mujer","1","Sin Servicio",2953105.16855073
"Mujer","6","Con Servicio",178584.905407405
"Mujer","6","Sin Servicio",3971221.85499856
"Mujer",NA,"Con Servicio",2425.0746775173
"Mujer",NA,"Sin Servicio",47945.0679512824
"Varón","1","Con Servicio",429166.110198185
"Varón","1","Sin Servicio",2014826.99800764
"Varón","6","Con Servicio",42361.2693097158
"Varón","6","Sin Servicio",1585042.79604009
"Varón",NA,"Sin Servicio",11241.6315416821
